imagen,caja_idx_pipeline,bbox,conf,fuente
healthy_Upper_Right_UR 0744.jpg,0,"(np.float32(50.185577), np.float32(400.6617), np.float32(225.47101), np.float32(550.0))",0.29468095302581787,pipeline_imagen_a_imagen
no_retractors_Left_Lateral_anonymous_003-007-810-00_1729925219683_Left_Lateral_View.jpg,0,"(np.float32(723.89343), np.float32(331.97134), np.float32(922.5986), np.float32(476.88074))",0.8757927417755127,pipeline_imagen_a_imagen
no_retractors_Left_Lateral_anonymous_003_103_412_00_1728381408086_Left_Lateral_View.jpg,0,"(np.float32(730.0476), np.float32(379.97385), np.float32(940.4476), np.float32(495.4554))",0.8632845878601074,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1037-00_1731303473745_Mandibular_View.jpg,0,"(np.float32(74.70062), np.float32(371.20514), np.float32(474.78732), np.float32(754.3945))",0.9127699732780457,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1037-00_1731303473745_Mandibular_View.jpg,1,"(np.float32(213.32666), np.float32(665.58356), np.float32(590.792), np.float32(1032.8209))",0.8998161554336548,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1037-00_1731303473745_Mandibular_View.jpg,2,"(np.float32(1616.616), np.float32(943.4591), np.float32(1917.9657), np.float32(1314.4204))",0.8528361320495605,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,0,"(np.float32(1871.5045), np.float32(404.83124), np.float32(2272.8577), np.float32(793.6298))",0.9234862327575684,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,1,"(np.float32(242.73596), np.float32(487.15668), np.float32(628.2141), np.float32(862.69196))",0.9104270339012146,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,2,"(np.float32(1899.6157), np.float32(759.84326), np.float32(2229.4465), np.float32(1031.0254))",0.9020770192146301,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1078-00_1731473228593_Mandibular_View.jpg,3,"(np.float32(1934.775), np.float32(63.040894), np.float32(2296.627), np.float32(427.87717))",0.8969110250473022,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,0,"(np.float32(1680.3962), np.float32(452.9348), np.float32(2053.898), np.float32(796.9488))",0.9081112742424011,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,1,"(np.float32(1758.7596), np.float32(158.46602), np.float32(2100.0671), np.float32(475.77264))",0.7627899050712585,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,2,"(np.float32(1652.9762), np.float32(756.5434), np.float32(1951.5154), np.float32(1023.9714))",0.6862248778343201,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1086-00_1732180719427_Mandibular_View.jpg,3,"(np.float32(153.82008), np.float32(566.91125), np.float32(527.9612), np.float32(940.4775))",0.433056116104126,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,0,"(np.float32(70.70546), np.float32(472.7769), np.float32(460.9641), np.float32(827.2717))",0.9276842474937439,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,1,"(np.float32(1647.1049), np.float32(376.05145), np.float32(2071.3496), np.float32(780.8534))",0.9219828248023987,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,2,"(np.float32(27.914192), np.float32(152.53912), np.float32(407.15793), np.float32(534.10925))",0.9111247658729553,pipeline_imagen_a_imagen
no_retractors_Mandibular_anonymous_003-007-1092-00_1732250439677_Mandibular_View.jpg,3,"(np.float32(1700.3484), np.float32(52.26328), np.float32(2109.2693), np.float32(399.5856))",0.8055455088615417,pipeline_imagen_a_imagen
