imagen_caries,split_afectado,imagen_dientes_coincidente,split_dientes,tipo_coincidencia,distancia_hamming,accion
pilot_Maxillary_Occlusal_anonymous-maxillaryView-1726650785522.jpg,val,c_Maxillary_Occlusal_anonymous-maxillaryView-1726650785522_jpg.rf.ZWlTegoKq5C5OfpRdkdi.jpg,valid,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1337-01_1733552404003_Mandibular_View.jpg,val,c_Mandibular_anonymous_003-007-1337-01_1733552404003_Mandibular_View_jpg.rf.P1B8d63aX90CenhdkIbE.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1445-01_1734067220530_Mandibular_View.jpg,val,c_Mandibular_anonymous_003-007-1445-01_1734067220530_Mandibular_View_jpg.rf.tWJVNY6lDuaKHwsE3EC8.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-641-01_1729154257635_Mandibular_View.jpg,val,c_Mandibular_anonymous_003-007-641-01_1729154257635_Mandibular_View_jpg.rf.EOGO9Aok50XTUDbIWGzG.jpg,valid,sha256,0,excluida
retractors_Mandibular_anonymous_003-008-748-01_1729605807129_Mandibular_View.jpg,val,c_Mandibular_anonymous_003-008-748-01_1729605807129_Mandibular_View_jpg.rf.19Bw6c2jCWgIiXBHIJN0.jpg,train,sha256,0,excluida
retractors_Maxillary_Occlusal_anonymous_003-008-1152-01_1732614762131_Maxillary_Occlusal_View.jpg,val,c_Maxillary_Occlusal_anonymous_003-008-1152-01_1732614762131_Maxillary_Occlusal_View_jpg.rf.gtaVXteeJ9yOPOmaboKg.jpg,train,sha256,0,excluida
retractors_Maxillary_Occlusal_anonymous_003-008-748-01_1729605807129_Maxillary_Occlusal_View.jpg,val,c_Maxillary_Occlusal_anonymous_003-008-748-01_1729605807129_Maxillary_Occlusal_View_jpg.rf.CJbwfBr9Fg1KRhvnQKSe.jpg,valid,sha256,0,excluida
retractors_Maxillary_Occlusal_anonymous_003_103_323_01_1727949601502_Maxillary_Occlusal_View.jpg,val,c_Maxillary_Occlusal_anonymous_003_103_323_01_1727949601502_Maxillary_Occlusal_View_jpg.rf.4RERieesfeyc7FXDQsIF.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003_103_323_01_1727949601502_Mandibular_View.jpg,val,c_Mandibular_anonymous_003_103_323_01_1727949601502_Mandibular_View_jpg.rf.uSF6mtlXs78mEMo4p0Zi.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_005-007-1023-01_1731214978665_Mandibular_View.jpg,val,c_Mandibular_anonymous_005-007-1023-01_1731214978665_Mandibular_View_jpg.rf.unuIFkVx5DgXRcVhAanE.jpg,train,sha256,0,excluida
retractors_Maxillary_Occlusal_anonymous_003_008_515_01_1728726784259_Maxillary_Occlusal_View.jpg,val,c_Maxillary_Occlusal_anonymous_003_008_515_01_1728726784259_Maxillary_Occlusal_View_jpg.rf.Toi7gCKBqjYZ4CYQxcAw_aug139.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1034-01_1731301095926_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-1034-01_1731301095926_Mandibular_View_jpg.rf.68hHAzg9Vf14csxdsjGK.jpg,valid,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1258-01_1733118887519_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-1258-01_1733118887519_Mandibular_View_jpg.rf.Qa2t5CjAmxmHUMEZeSsH.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1399-01_1733893694425_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-1399-01_1733893694425_Mandibular_View_jpg.rf.Lt4xbFokq3qIkbWBG3E0.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-773-01_1729754981952_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-773-01_1729754981952_Mandibular_View_jpg.rf.3YAPMev24vNtmuwnQgS1.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-898-01_1730349798023_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-898-01_1730349798023_Mandibular_View_jpg.rf.NaXZgWXpP7AS4L3gfBzs.jpg,train,sha256,0,excluida
retractors_Maxillary_Occlusal_anonymous_003-008-746-01_1729603652462_Maxillary_Occlusal_View.jpg,test,c_Maxillary_Occlusal_anonymous_003-008-746-01_1729603652462_Maxillary_Occlusal_View_jpg.rf.S2AjyZwZSQhpdkR1T9s3.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1282-01_1733296511775_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-1282-01_1733296511775_Mandibular_View_jpg.rf.TTGSIOkUjlacaowYT2w3.jpg,train,sha256,0,excluida
retractors_Mandibular_anonymous_003-007-1284-01_1733298471956_Mandibular_View.jpg,test,c_Mandibular_anonymous_003-007-1284-01_1733298471956_Mandibular_View_jpg.rf.3WUrddZVvK7wP3WPRy0B.jpg,train,sha256,0,excluida
retractors_Maxillary_Occlusal_anonymous_003_103_299_01_1727868080003_Maxillary_Occlusal_View.jpg,test,c_Maxillary_Occlusal_anonymous_003_103_299_01_1727868080003_Maxillary_Occlusal_View_jpg.rf.8xokZRRMOGBqsCSByjeA.jpg,valid,sha256,0,excluida
